Sun Jun  4 15:52:59 2023    binary.txt

         404339 function calls (403851 primitive calls) in 0.347 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3130    0.092    0.000    0.092    0.000 {built-in method nt.stat}
     1000    0.023    0.000    0.161    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\traceback.py:397(_extract_from_extended_frame_gen)
     8000    0.021    0.000    0.042    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\traceback.py:458(format_frame_summary)
    34000    0.014    0.000    0.034    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\traceback.py:316(line)
     1000    0.011    0.000    0.011    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     1000    0.008    0.000    0.051    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\traceback.py:513(format)
     1000    0.007    0.000    0.021    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:292(__init__)
     1000    0.006    0.000    0.006    0.000 {method 'strftime' of 'datetime.date' objects}
     4000    0.006    0.000    0.094    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\linecache.py:52(checkcache)
     1000    0.006    0.000    0.244    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1561(findCaller)
     8000    0.005    0.000    0.016    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\linecache.py:26(getline)
    14044    0.005    0.000    0.005    0.000 {method 'format' of 'str' objects}
     9000    0.005    0.000    0.005    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\traceback.py:325(walk_stack)
    40000    0.005    0.000    0.005    0.000 {method 'strip' of 'str' objects}
     8000    0.004    0.000    0.005    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\linecache.py:147(lazycache)
     8000    0.004    0.000    0.010    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\linecache.py:36(getlines)
     9000    0.004    0.000    0.009    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\traceback.py:389(extended_frame_gen)
     8000    0.003    0.000    0.003    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\traceback.py:264(__init__)
    39532    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     1000    0.003    0.000    0.007    0.000 <frozen ntpath>:206(split)
38968/38874    0.003    0.000    0.003    0.000 {built-in method builtins.len}
     1000    0.003    0.000    0.005    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\traceback.py:439(from_list)
       19    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
     3001    0.003    0.000    0.006    0.000 <frozen ntpath>:51(normcase)
     1000    0.003    0.000    0.061    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\traceback.py:21(print_list)
     1000    0.002    0.000    0.002    0.000 {built-in method today}
