Sun Mar 12 19:50:29 2023    binary.txt

         48355 function calls (47714 primitive calls) in 0.038 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      193    0.005    0.000    0.005    0.000 {built-in method nt.stat}
       36    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
      387    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.002    0.002    0.002    0.002 {built-in method _imp.create_dynamic}
      141    0.001    0.000    0.006    0.000 {built-in method builtins.__build_class__}
       36    0.001    0.000    0.001    0.000 {built-in method io.open_code}
       36    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.001    0.001    0.001    0.001 {built-in method builtins.print}
       48    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
     39/7    0.001    0.000    0.002    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:507(_parse)
     2381    0.001    0.000    0.001    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\coord.py:24(__init__)
      990    0.001    0.000    0.001    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\coord.py:68(__lt__)
       74    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
       42    0.001    0.000    0.005    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\matrix.py:105(add_color)
       23    0.000    0.000    0.001    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:241(_optimize_charset)
        9    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
     1564    0.000    0.000    0.001    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\matrix.py:163(__getitem__)
      671    0.000    0.000    0.001    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\coord.py:64(__eq__)
     5893    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
